ShippingID,SaleID,ShippingMethod,ShippingCost,DeliveryDate,ShipmentStatus
68,4969,Standard,59.82,2025-07-05T00:00:00.000000000,Delivered
69,9469,Standard,93.77,2025-09-14T00:00:00.000000000,Delivered
70,9884,Express,12.25,2025-12-18T00:00:00.000000000,Delayed
71,4561,Same Day,35.91,2024-02-07T00:00:00.000000000,Delayed
72,3774,Express,18.72,2026-10-02T00:00:00.000000000,Delayed
73,4289,Same Day,24.55,2026-02-21T00:00:00.000000000,Delayed
74,3634,Express,13.01,2026-11-15T00:00:00.000000000,In Transit
75,1605,Same Day,29.45,2026-03-04T00:00:00.000000000,In Transit
76,9966,Express,52.7,2026-05-21T00:00:00.000000000,Delayed
77,3127,Standard,52.49,2024-10-19T00:00:00.000000000,Delivered
78,5981,Express,92.19,2025-02-26T00:00:00.000000000,Delivered
79,6014,Standard,86.43,2026-10-06T00:00:00.000000000,Delayed
80,2617,Same Day,95.15,2025-10-17T00:00:00.000000000,In Transit
81,9760,Express,51.46,2026-10-25T00:00:00.000000000,Delivered
82,8710,Same Day,54.4,2026-07-30T00:00:00.000000000,In Transit
83,1045,Standard,27.29,2026-01-02T00:00:00.000000000,Delivered
84,556,Express,52.41,2025-08-18T00:00:00.000000000,Delivered
85,7373,Same Day,19.34,2024-08-29T00:00:00.000000000,Delivered
86,1734,Standard,5.79,2026-08-03T00:00:00.000000000,Delayed
87,5790,Standard,40.57,2025-09-19T00:00:00.000000000,In Transit
88,78,Standard,29.45,2025-02-13T00:00:00.000000000,In Transit
89,4388,Same Day,83.89,2025-04-29T00:00:00.000000000,Delayed
90,7566,Standard,84.02,2025-10-10T00:00:00.000000000,Delayed
91,3788,Same Day,28.2,2024-01-08T00:00:00.000000000,In Transit
92,2737,Express,7.84,2026-01-02T00:00:00.000000000,Delayed
93,7809,Same Day,17.04,2025-04-10T00:00:00.000000000,Delivered
94,7100,Same Day,6.08,2024-01-10T00:00:00.000000000,Delayed
95,2302,Standard,39.97,2024-04-23T00:00:00.000000000,Delivered
96,968,Same Day,9.85,2025-03-19T00:00:00.000000000,In Transit
97,4020,Express,38.16,2025-02-06T00:00:00.000000000,Delivered
98,4010,Standard,8.93,2025-03-13T00:00:00.000000000,In Transit
99,9936,Same Day,32.47,2025-02-27T00:00:00.000000000,Delayed
100,9771,Standard,44.04,2026-06-21T00:00:00.000000000,Delayed
101,9214,Standard,75.99,2025-02-06T00:00:00.000000000,In Transit
102,4875,Standard,76.65,2025-07-08T00:00:00.000000000,In Transit
103,2078,Standard,85.48,2025-01-19T00:00:00.000000000,Delayed
104,5400,Same Day,50.33,2025-07-04T00:00:00.000000000,In Transit
105,5366,Same Day,19.49,2025-09-23T00:00:00.000000000,Delayed
106,2759,Express,72.96,2025-08-20T00:00:00.000000000,In Transit
107,479,Standard,9.86,2024-08-19T00:00:00.000000000,Delivered
108,2740,Same Day,8.09,2024-01-16T00:00:00.000000000,Delayed
109,2397,Same Day,24.02,2026-11-12T00:00:00.000000000,Delivered
110,3100,Express,20.07,2025-01-12T00:00:00.000000000,In Transit
111,4631,Same Day,36.87,2026-09-09T00:00:00.000000000,Delayed
112,1078,Express,76.0,2024-06-01T00:00:00.000000000,In Transit
113,9554,Express,47.38,2024-12-28T00:00:00.000000000,Delivered
114,8132,Same Day,41.75,2026-10-24T00:00:00.000000000,Delayed
115,394,Same Day,91.91,2025-07-05T00:00:00.000000000,Delayed
116,3330,Standard,79.66,2026-06-11T00:00:00.000000000,Delivered
117,8932,Express,75.25,2025-12-03T00:00:00.000000000,Delayed
118,1145,Express,70.97,2024-04-01T00:00:00.000000000,Delayed
119,1446,Express,99.4,2025-04-04T00:00:00.000000000,In Transit
120,9637,Express,12.37,2024-06-29T00:00:00.000000000,Delayed
121,8464,Standard,9.15,2025-02-28T00:00:00.000000000,Delivered
122,6656,Express,57.66,2024-06-30T00:00:00.000000000,Delayed
123,5652,Same Day,55.46,2025-11-24T00:00:00.000000000,Delivered
124,8468,Same Day,18.65,2025-08-13T00:00:00.000000000,Delayed
125,8225,Standard,11.98,2025-06-11T00:00:00.000000000,In Transit
126,984,Standard,68.01,2025-05-25T00:00:00.000000000,Delivered
127,7269,Standard,69.72,2024-11-24T00:00:00.000000000,In Transit
128,4571,Same Day,14.28,2025-04-05T00:00:00.000000000,In Transit
129,6494,Express,29.73,2025-07-22T00:00:00.000000000,Delayed
130,5029,Standard,11.76,2025-11-02T00:00:00.000000000,In Transit
131,5519,Same Day,92.31,2024-09-17T00:00:00.000000000,Delayed
132,5371,Standard,77.61,2026-09-18T00:00:00.000000000,In Transit
133,4197,Same Day,83.01,2024-04-15T00:00:00.000000000,Delayed
134,5755,Same Day,68.08,2024-10-10T00:00:00.000000000,Delayed
135,5441,Express,72.96,2024-01-06T00:00:00.000000000,Delivered
136,3514,Express,37.41,2026-08-20T00:00:00.000000000,Delayed
137,4206,Express,6.71,2024-08-19T00:00:00.000000000,In Transit
138,1764,Express,69.79,2024-03-11T00:00:00.000000000,In Transit
139,8279,Express,26.76,2024-06-25T00:00:00.000000000,Delivered
140,7446,Same Day,52.5,2025-07-15T00:00:00.000000000,Delivered
141,2370,Same Day,63.86,2024-03-07T00:00:00.000000000,Delivered
142,5213,Express,7.85,2025-04-15T00:00:00.000000000,Delivered
143,6857,Express,97.3,2026-04-24T00:00:00.000000000,Delayed
144,5793,Express,8.67,2025-07-05T00:00:00.000000000,In Transit
145,1065,Express,21.43,2026-06-25T00:00:00.000000000,Delivered
146,9408,Standard,28.31,2024-02-18T00:00:00.000000000,Delayed
147,5288,Same Day,81.46,2024-09-24T00:00:00.000000000,Delayed
148,3236,Standard,31.63,2025-12-05T00:00:00.000000000,In Transit
149,7135,Same Day,81.89,2024-12-21T00:00:00.000000000,Delivered
150,8846,Same Day,64.55,2025-05-22T00:00:00.000000000,In Transit
151,9277,Same Day,28.88,2024-05-13T00:00:00.000000000,In Transit
152,1569,Standard,97.18,2025-03-27T00:00:00.000000000,Delayed
153,6151,Express,36.21,2025-07-16T00:00:00.000000000,Delayed
154,7171,Same Day,11.45,2025-10-03T00:00:00.000000000,In Transit
155,9463,Express,67.5,2025-04-08T00:00:00.000000000,In Transit
156,92,Same Day,42.24,2026-10-14T00:00:00.000000000,Delayed
157,7314,Same Day,56.62,2025-03-03T00:00:00.000000000,Delayed
158,7350,Same Day,5.6,2024-06-30T00:00:00.000000000,Delayed
159,8203,Express,98.2,2024-09-26T00:00:00.000000000,Delayed
160,1587,Express,90.45,2025-05-22T00:00:00.000000000,Delayed
161,6293,Express,51.45,2025-12-25T00:00:00.000000000,Delayed
162,3668,Same Day,98.82,2026-06-05T00:00:00.000000000,Delayed
163,8667,Express,79.74,2025-08-24T00:00:00.000000000,Delivered
164,2770,Express,42.72,2026-03-28T00:00:00.000000000,Delayed
165,1029,Standard,40.59,2025-02-05T00:00:00.000000000,Delayed
166,5883,Express,13.27,2025-04-28T00:00:00.000000000,Delayed
167,7121,Standard,92.0,2025-09-29T00:00:00.000000000,In Transit
168,7693,Standard,71.31,2025-03-14T00:00:00.000000000,In Transit
169,5865,Standard,69.3,2024-12-12T00:00:00.000000000,In Transit
170,457,Express,5.38,2025-08-04T00:00:00.000000000,Delayed
171,1695,Standard,43.02,2026-07-25T00:00:00.000000000,Delivered
172,8079,Same Day,76.78,2024-09-29T00:00:00.000000000,Delivered
173,1891,Express,70.89,2024-07-08T00:00:00.000000000,In Transit
174,7711,Express,47.77,2026-02-15T00:00:00.000000000,In Transit
175,1707,Same Day,53.69,2025-01-01T00:00:00.000000000,Delayed
176,9160,Express,62.3,2025-12-01T00:00:00.000000000,In Transit
177,2306,Same Day,97.73,2024-08-23T00:00:00.000000000,In Transit
178,5129,Express,77.34,2025-08-08T00:00:00.000000000,Delayed
179,6504,Same Day,14.52,2025-07-02T00:00:00.000000000,In Transit
180,8096,Standard,49.01,2026-09-03T00:00:00.000000000,In Transit
181,3200,Express,34.98,2025-01-16T00:00:00.000000000,Delayed
182,9720,Standard,54.98,2025-07-31T00:00:00.000000000,Delayed
183,8605,Express,59.89,2025-09-28T00:00:00.000000000,In Transit
184,649,Express,81.96,2024-06-02T00:00:00.000000000,Delayed
185,6130,Same Day,96.81,2026-07-19T00:00:00.000000000,Delivered
186,5902,Express,72.54,2024-09-09T00:00:00.000000000,Delayed
187,7980,Standard,87.14,2026-12-27T00:00:00.000000000,In Transit
188,8413,Same Day,62.87,2026-11-27T00:00:00.000000000,Delivered
189,1807,Express,30.07,2024-03-28T00:00:00.000000000,In Transit
190,7724,Express,63.52,2024-01-08T00:00:00.000000000,Delivered
191,9733,Same Day,86.34,2026-10-05T00:00:00.000000000,In Transit
192,8302,Standard,32.63,2025-12-30T00:00:00.000000000,Delayed
193,2824,Standard,5.79,2026-09-06T00:00:00.000000000,Delayed
194,1180,Express,73.3,2024-05-26T00:00:00.000000000,In Transit
195,9861,Same Day,95.07,2025-05-03T00:00:00.000000000,Delayed
196,1191,Same Day,79.11,2024-04-07T00:00:00.000000000,Delayed
197,5279,Standard,52.29,2024-07-29T00:00:00.000000000,Delivered
198,5411,Express,74.16,2026-10-10T00:00:00.000000000,Delivered
199,9481,Same Day,48.42,2024-08-27T00:00:00.000000000,Delivered
200,9937,Express,25.43,2025-04-09T00:00:00.000000000,Delivered
201,3933,Standard,86.45,2025-10-20T00:00:00.000000000,In Transit
202,6451,Standard,96.28,2026-07-18T00:00:00.000000000,In Transit
203,1701,Express,76.77,2026-06-08T00:00:00.000000000,Delayed
204,3641,Standard,63.49,2026-03-07T00:00:00.000000000,Delayed
205,2881,Standard,43.44,2025-09-08T00:00:00.000000000,Delivered
206,7389,Standard,19.2,2024-08-15T00:00:00.000000000,Delayed
207,143,Same Day,96.51,2025-06-14T00:00:00.000000000,Delayed
208,9359,Same Day,31.32,2025-04-15T00:00:00.000000000,Delivered
209,7653,Standard,89.63,2026-04-18T00:00:00.000000000,Delayed
210,1237,Same Day,67.22,2024-01-26T00:00:00.000000000,Delayed
211,1951,Same Day,98.48,2026-12-09T00:00:00.000000000,In Transit
212,525,Express,27.96,2025-10-22T00:00:00.000000000,Delayed
213,6849,Express,70.11,2025-09-18T00:00:00.000000000,Delayed
214,3297,Standard,75.81,2026-03-05T00:00:00.000000000,In Transit
215,1474,Same Day,84.1,2025-05-19T00:00:00.000000000,In Transit
216,158,Express,48.84,2026-09-14T00:00:00.000000000,Delayed
217,8263,Same Day,66.14,2025-04-22T00:00:00.000000000,Delivered
218,1091,Standard,82.24,2025-08-05T00:00:00.000000000,Delivered
219,3102,Standard,56.9,2025-02-06T00:00:00.000000000,In Transit
220,3622,Standard,51.01,2026-07-03T00:00:00.000000000,Delivered
221,171,Express,39.64,2026-05-18T00:00:00.000000000,Delivered
222,3712,Express,85.17,2024-01-15T00:00:00.000000000,In Transit
223,2731,Same Day,69.73,2026-10-06T00:00:00.000000000,In Transit
224,971,Standard,49.74,2024-11-12T00:00:00.000000000,Delivered
225,630,Same Day,71.33,2026-07-15T00:00:00.000000000,Delayed
226,4975,Same Day,83.86,2026-11-25T00:00:00.000000000,In Transit
227,7743,Express,20.34,2026-11-08T00:00:00.000000000,In Transit
228,3281,Standard,95.42,2024-10-11T00:00:00.000000000,Delayed
229,5724,Same Day,93.08,2024-04-27T00:00:00.000000000,Delayed
230,2980,Standard,64.01,2026-04-02T00:00:00.000000000,Delayed
231,8801,Express,98.73,2026-08-07T00:00:00.000000000,Delayed
232,9373,Express,18.38,2026-04-24T00:00:00.000000000,Delivered
233,2630,Same Day,70.94,2024-04-30T00:00:00.000000000,Delayed
234,5756,Standard,94.0,2025-01-13T00:00:00.000000000,Delivered
235,8931,Express,5.02,2024-02-27T00:00:00.000000000,Delivered
236,304,Same Day,33.92,2024-02-25T00:00:00.000000000,Delivered
237,6093,Standard,19.38,2024-11-11T00:00:00.000000000,Delayed
238,8068,Express,39.13,2026-07-23T00:00:00.000000000,Delayed
239,6000,Same Day,50.26,2024-07-12T00:00:00.000000000,Delayed
240,6088,Same Day,18.75,2024-07-21T00:00:00.000000000,Delivered
241,8406,Standard,36.35,2025-06-29T00:00:00.000000000,Delayed
242,9914,Express,16.09,2024-11-27T00:00:00.000000000,Delivered
243,8994,Same Day,28.62,2024-01-05T00:00:00.000000000,Delivered
244,5076,Same Day,99.34,2026-03-19T00:00:00.000000000,In Transit
245,6390,Same Day,14.5,2024-01-17T00:00:00.000000000,Delivered
246,3785,Standard,27.52,2024-05-15T00:00:00.000000000,In Transit
247,8442,Standard,94.58,2026-10-08T00:00:00.000000000,In Transit
248,5659,Express,69.79,2024-11-22T00:00:00.000000000,In Transit
249,3425,Standard,21.1,2025-11-10T00:00:00.000000000,Delivered
250,3880,Same Day,12.12,2024-04-26T00:00:00.000000000,Delayed
251,8783,Express,62.65,2026-05-16T00:00:00.000000000,Delivered
252,8367,Same Day,74.86,2025-03-01T00:00:00.000000000,Delayed
253,4961,Standard,38.33,2026-01-08T00:00:00.000000000,Delayed
254,6930,Standard,65.27,2024-11-21T00:00:00.000000000,Delivered
255,5948,Same Day,48.7,2024-04-14T00:00:00.000000000,Delivered
256,2402,Standard,98.88,2025-11-08T00:00:00.000000000,Delivered
257,6348,Standard,66.67,2024-07-01T00:00:00.000000000,Delivered
258,8312,Same Day,27.24,2025-08-08T00:00:00.000000000,Delayed
259,4822,Standard,9.53,2024-01-01T00:00:00.000000000,Delayed
260,4125,Same Day,39.65,2026-08-13T00:00:00.000000000,Delayed
261,2205,Same Day,18.06,2026-01-14T00:00:00.000000000,Delayed
262,8753,Same Day,43.07,2025-07-19T00:00:00.000000000,Delivered
263,6371,Same Day,54.91,2026-05-27T00:00:00.000000000,In Transit
264,359,Express,6.21,2026-08-29T00:00:00.000000000,Delivered
265,2151,Express,59.39,2025-09-23T00:00:00.000000000,Delivered
266,4926,Express,54.11,2025-04-29T00:00:00.000000000,Delayed
267,1390,Express,79.43,2024-12-17T00:00:00.000000000,In Transit
268,2839,Standard,51.79,2024-05-06T00:00:00.000000000,In Transit
269,6928,Standard,92.73,2025-03-08T00:00:00.000000000,Delayed
270,6724,Express,18.18,2026-05-16T00:00:00.000000000,In Transit
271,7752,Express,51.35,2026-04-12T00:00:00.000000000,Delayed
272,9085,Express,16.48,2024-03-16T00:00:00.000000000,Delivered
273,9525,Express,46.2,2026-06-12T00:00:00.000000000,In Transit
274,4853,Standard,49.85,2025-01-15T00:00:00.000000000,In Transit
275,9768,Same Day,53.22,2024-10-12T00:00:00.000000000,Delivered
276,3650,Same Day,86.59,2024-05-28T00:00:00.000000000,In Transit
277,5662,Express,14.07,2026-06-13T00:00:00.000000000,Delivered
278,6403,Same Day,88.74,2025-07-29T00:00:00.000000000,Delivered
279,3081,Express,12.29,2026-04-13T00:00:00.000000000,Delivered
280,1020,Same Day,53.4,2024-04-19T00:00:00.000000000,Delayed
281,9775,Same Day,30.0,2024-05-01T00:00:00.000000000,In Transit
282,7520,Express,84.34,2025-05-18T00:00:00.000000000,Delayed
283,7311,Same Day,9.65,2024-03-22T00:00:00.000000000,Delivered
284,6161,Standard,45.82,2024-11-02T00:00:00.000000000,Delayed
285,8142,Express,53.07,2024-04-03T00:00:00.000000000,Delayed
286,5501,Express,24.05,2024-06-11T00:00:00.000000000,Delivered
287,9785,Same Day,32.92,2025-05-27T00:00:00.000000000,Delivered
288,5008,Express,99.81,2025-09-05T00:00:00.000000000,Delayed
289,8152,Same Day,91.46,2026-03-22T00:00:00.000000000,Delivered
290,1721,Standard,79.64,2025-09-17T00:00:00.000000000,Delayed
291,8237,Same Day,6.2,2025-07-16T00:00:00.000000000,In Transit
292,3922,Standard,91.75,2025-07-08T00:00:00.000000000,Delivered
293,203,Same Day,90.59,2025-12-11T00:00:00.000000000,Delayed
294,4102,Express,46.09,2026-04-27T00:00:00.000000000,Delayed
295,3521,Standard,98.26,2025-08-29T00:00:00.000000000,Delivered
296,6751,Express,76.65,2024-06-21T00:00:00.000000000,Delayed
297,6986,Express,78.39,2025-06-01T00:00:00.000000000,Delivered
298,2123,Express,66.02,2024-11-30T00:00:00.000000000,In Transit
299,7078,Standard,94.34,2026-03-04T00:00:00.000000000,Delayed
300,1442,Standard,68.78,2024-04-05T00:00:00.000000000,Delivered
301,5932,Standard,77.76,2024-02-22T00:00:00.000000000,In Transit
302,1303,Express,68.2,2025-06-29T00:00:00.000000000,Delivered
303,655,Standard,73.06,2026-03-02T00:00:00.000000000,In Transit
304,7863,Standard,7.41,2026-05-10T00:00:00.000000000,Delivered
305,7474,Standard,97.18,2026-08-20T00:00:00.000000000,Delivered
306,6575,Standard,55.59,2026-12-09T00:00:00.000000000,Delivered
307,7977,Express,81.75,2025-09-17T00:00:00.000000000,Delayed
308,743,Standard,71.94,2025-01-28T00:00:00.000000000,Delayed
309,5078,Standard,63.68,2024-11-14T00:00:00.000000000,In Transit
310,1042,Same Day,66.54,2024-05-05T00:00:00.000000000,In Transit
311,462,Standard,57.33,2026-02-22T00:00:00.000000000,Delayed
312,9212,Standard,26.69,2025-04-01T00:00:00.000000000,In Transit
313,5826,Express,32.39,2025-09-09T00:00:00.000000000,Delivered
314,2226,Same Day,29.92,2025-12-25T00:00:00.000000000,In Transit
315,2246,Express,40.68,2025-06-14T00:00:00.000000000,In Transit
316,394,Express,78.26,2024-08-17T00:00:00.000000000,Delivered
317,7579,Same Day,35.12,2025-11-17T00:00:00.000000000,Delayed
318,9463,Express,64.06,2024-07-02T00:00:00.000000000,Delivered
319,3430,Same Day,64.44,2025-09-27T00:00:00.000000000,Delivered
320,7412,Same Day,90.5,2026-05-30T00:00:00.000000000,Delayed
321,4293,Express,34.29,2026-01-31T00:00:00.000000000,Delayed
322,4215,Same Day,6.55,2026-11-21T00:00:00.000000000,Delivered
323,216,Standard,84.43,2026-05-15T00:00:00.000000000,In Transit
324,4107,Same Day,49.93,2026-11-06T00:00:00.000000000,Delivered
325,7505,Standard,77.39,2026-01-18T00:00:00.000000000,Delayed
326,2567,Same Day,75.14,2025-11-20T00:00:00.000000000,Delayed
327,9963,Express,48.41,2024-02-13T00:00:00.000000000,In Transit
328,5241,Express,91.41,2026-05-11T00:00:00.000000000,Delivered
329,6184,Standard,10.91,2024-01-25T00:00:00.000000000,Delayed
330,7643,Standard,46.42,2025-11-21T00:00:00.000000000,In Transit
331,9422,Express,8.56,2024-12-15T00:00:00.000000000,In Transit
332,7516,Express,93.1,2025-04-15T00:00:00.000000000,In Transit
333,8014,Same Day,65.3,2026-02-27T00:00:00.000000000,Delivered
334,7834,Express,28.2,2026-09-08T00:00:00.000000000,In Transit
335,7769,Same Day,33.83,2025-04-19T00:00:00.000000000,Delivered
336,403,Express,93.13,2026-04-19T00:00:00.000000000,Delayed
337,5738,Standard,10.51,2025-02-23T00:00:00.000000000,In Transit
338,761,Same Day,82.71,2024-02-29T00:00:00.000000000,Delayed
339,8213,Express,96.21,2024-08-07T00:00:00.000000000,Delivered
340,3848,Standard,25.01,2025-07-29T00:00:00.000000000,Delayed
341,2775,Same Day,32.6,2026-10-11T00:00:00.000000000,Delivered
342,7828,Express,98.64,2026-10-25T00:00:00.000000000,In Transit
343,4848,Express,66.93,2024-09-23T00:00:00.000000000,Delayed
344,3704,Same Day,30.54,2024-01-13T00:00:00.000000000,Delivered
345,739,Same Day,56.48,2026-05-11T00:00:00.000000000,In Transit
346,3702,Same Day,22.91,2024-06-26T00:00:00.000000000,Delayed
347,3839,Standard,51.99,2024-09-15T00:00:00.000000000,Delivered
348,2514,Standard,34.59,2024-05-24T00:00:00.000000000,Delayed
349,2462,Standard,45.94,2024-01-30T00:00:00.000000000,Delayed
350,7506,Same Day,50.86,2026-03-01T00:00:00.000000000,In Transit
351,2278,Same Day,98.31,2024-02-11T00:00:00.000000000,Delivered
352,3292,Standard,89.7,2026-12-18T00:00:00.000000000,In Transit
353,6771,Express,66.41,2026-04-13T00:00:00.000000000,Delayed
354,3410,Standard,67.16,2025-09-29T00:00:00.000000000,In Transit
355,9546,Express,55.92,2024-07-20T00:00:00.000000000,Delivered
356,8386,Express,52.45,2024-08-25T00:00:00.000000000,Delayed
357,3907,Same Day,88.8,2025-01-06T00:00:00.000000000,In Transit
358,8159,Express,7.39,2025-03-04T00:00:00.000000000,Delivered
359,4088,Express,54.86,2024-08-28T00:00:00.000000000,In Transit
360,4298,Standard,85.68,2026-01-10T00:00:00.000000000,Delayed
361,2230,Express,80.41,2026-10-05T00:00:00.000000000,In Transit
362,6737,Express,86.97,2026-05-15T00:00:00.000000000,Delayed
363,9407,Standard,9.22,2024-11-20T00:00:00.000000000,Delivered
364,2229,Standard,35.45,2026-11-16T00:00:00.000000000,In Transit
365,6643,Express,34.79,2025-05-02T00:00:00.000000000,Delivered
366,8586,Standard,87.37,2026-07-18T00:00:00.000000000,Delayed
367,898,Standard,62.42,2025-01-12T00:00:00.000000000,In Transit
368,9007,Standard,41.06,2026-11-12T00:00:00.000000000,Delayed
369,9851,Standard,7.18,2024-01-02T00:00:00.000000000,In Transit
370,5494,Standard,99.72,2024-11-10T00:00:00.000000000,Delayed
371,1712,Standard,88.77,2026-11-14T00:00:00.000000000,Delivered
372,7044,Standard,67.53,2025-01-19T00:00:00.000000000,In Transit
373,7631,Standard,72.53,2024-08-14T00:00:00.000000000,In Transit
374,6341,Standard,21.68,2026-11-14T00:00:00.000000000,In Transit
375,2099,Express,68.66,2025-05-28T00:00:00.000000000,In Transit
376,711,Standard,14.65,2026-01-09T00:00:00.000000000,Delivered
377,2645,Same Day,70.33,2025-01-03T00:00:00.000000000,Delayed
378,9207,Standard,32.79,2025-07-14T00:00:00.000000000,Delayed
379,5145,Standard,51.75,2026-11-22T00:00:00.000000000,In Transit
380,7805,Same Day,70.26,2026-08-31T00:00:00.000000000,Delivered
381,6468,Standard,57.84,2026-11-17T00:00:00.000000000,In Transit
382,2168,Same Day,8.35,2025-06-22T00:00:00.000000000,In Transit
383,9617,Standard,88.98,2026-08-17T00:00:00.000000000,Delivered
384,4490,Express,98.74,2025-01-20T00:00:00.000000000,Delayed
385,9592,Standard,96.82,2026-08-26T00:00:00.000000000,In Transit
386,8578,Express,85.21,2026-06-18T00:00:00.000000000,In Transit
387,2726,Standard,71.09,2026-09-05T00:00:00.000000000,Delayed
388,4594,Standard,98.65,2024-05-03T00:00:00.000000000,Delayed
389,328,Express,80.77,2025-04-30T00:00:00.000000000,In Transit
390,1328,Standard,32.39,2024-02-09T00:00:00.000000000,Delayed
391,4558,Standard,67.04,2024-10-13T00:00:00.000000000,In Transit
392,9419,Same Day,96.68,2024-12-10T00:00:00.000000000,In Transit
393,2912,Standard,23.17,2025-01-16T00:00:00.000000000,Delayed
394,1066,Standard,85.92,2026-09-22T00:00:00.000000000,Delivered
395,7912,Same Day,63.48,2025-08-01T00:00:00.000000000,Delayed
396,6370,Same Day,40.51,2025-02-24T00:00:00.000000000,Delivered
397,2056,Express,18.21,2025-02-27T00:00:00.000000000,Delayed
398,4154,Same Day,76.71,2025-12-13T00:00:00.000000000,In Transit
