SupplierID,SupplierName,ContactInfo,Region,LocationID
41,King Ltd,qwilson@hester.biz,North,85
42,"Brown, Irwin and Blair",youngmichael@gmail.com,North,82
43,Wagner Inc,christineramirez@carter-schultz.com,East,42
44,"Hampton, Miller and Russell",martinanthony@vazquez.info,West,22
45,Hansen-Drake,sanchezbradley@hotmail.com,East,44
46,"Mcdonald, Davis and Hancock",jasondiaz@davis-baker.info,North,198
47,"Todd, Goodman and Payne",elizabeth71@bass-smith.biz,North,85
48,"Bailey, Barnett and Cooper",brooke64@gonzalez.com,North,76
49,West Group,rossmason@hotmail.com,North,19
50,Flynn LLC,hernandezwilliam@yahoo.com,South,197
51,Smith and Sons,brenda34@collins-thompson.com,North,192
52,"Davis, Martinez and Martin",colleen16@joyce-harris.biz,West,91
53,Kidd-Montgomery,qgarner@hotmail.com,South,184
54,Rodriguez PLC,ohawkins@hotmail.com,West,91
55,Thornton-Cox,jvalencia@yahoo.com,West,184
56,Logan LLC,tcooper@serrano.org,West,44
57,Gray Group,nancy72@rodriguez.com,East,189
58,Galloway LLC,claudiagarcia@wright.com,West,168
59,Jones LLC,christineflores@mercer.com,West,200
60,Lee-Brooks,jonathanspence@thomas.net,West,19
61,Moore Ltd,andrew79@yahoo.com,South,74
62,Chandler LLC,victorcollins@riggs-jacobs.net,West,19
63,Jackson-Dalton,michael48@gmail.com,East,135
64,"Spencer, Coleman and Stewart",uevans@garcia.com,North,198
65,"Brown, Travis and Parks",hopkinstimothy@gmail.com,North,71
66,"Smith, Perez and Rice",eflores@williamson-mora.com,North,185
67,Hopkins LLC,edward93@hotmail.com,West,168
68,Perkins-Hamilton,uhull@yahoo.com,East,162
69,"White, Hernandez and Gibbs",sandersvictoria@yahoo.com,South,76
70,"Cervantes, Hicks and Martinez",chrishansen@lee-lopez.info,South,42
71,Dickson Ltd,nielsenjennifer@franklin.com,West,43
72,"Copeland, Hughes and Harris",robert07@padilla.com,West,19
73,Sanchez-Cannon,olsenanthony@hotmail.com,North,22
74,Cortez LLC,georgewright@gmail.com,East,42
75,Douglas-Bell,tina92@gmail.com,East,198
76,Murray-Welch,waguilar@hotmail.com,South,40
77,Wilson Inc,stephaniewilliams@gmail.com,North,53
78,Higgins-Patterson,richardsmith@brock-lee.biz,North,168
79,Richardson and Sons,llong@kelley.com,East,10
80,Atkinson LLC,joyce20@hotmail.com,North,130
81,James Group,ounderwood@hotmail.com,South,178
82,Bell Group,garciacynthia@simon.com,North,123
83,Flynn Group,lauren61@hotmail.com,West,200
84,Wood-Love,irobinson@hotmail.com,South,178
85,"Anderson, Farmer and Holloway",brookejimenez@yahoo.com,East,168
86,"Sandoval, Hughes and Harris",marquezheather@hood.com,West,135
87,"Maldonado, Gomez and Shelton",natashaelliott@bryant.net,North,178
88,Robinson and Sons,bdavis@yahoo.com,South,76
89,James PLC,ecantu@lawrence.net,North,76
90,Summers-Kennedy,pturner@sanchez-thompson.com,West,62
91,Jackson PLC,wilsonjason@gmail.com,East,74
92,Burgess-Black,john89@chambers.net,West,168
93,Rice Inc,amanda93@parks.com,North,192
94,Cowan and Sons,iwilliams@mccarthy.com,East,48
95,Wilson-Brown,qrogers@ortiz-sanchez.com,East,22
96,Lindsey LLC,bennettsheila@gmail.com,South,60
97,"Johnson, Armstrong and Coleman",ihawkins@castillo.com,South,96
98,Johnson-Gilbert,wilsonjillian@davis.com,North,62
99,"Washington, Mckay and Garcia",bholden@gmail.com,East,42
100,"Grimes, Jordan and Evans",andrew50@james.com,North,74
